category,wine,rating,wine_year
"Peor vino","Gran Reserva",4.2,1928
"Peor vino","Gran Reserva",4.2,1928
"Peor vino","Seleccion Especial",4.2,2015
"Peor vino",Valdegines,4.2,2019
"Peor vino",Reserva,4.2,1986
"Peor vino",Reserva,4.2,1986
"Peor vino",Reserva,4.2,1986
"Peor vino",Reserva,4.2,1986
"Peor vino",Reserva,4.2,1986
"Peor vino",Reserva,4.2,1986
"Peor vino","Vina Ardanza Reserva",4.2,2015
"Peor vino","Vina Ardanza Reserva",4.2,2015
"Peor vino","Vina Ardanza Reserva",4.2,2015
"Peor vino","Ribera del Duero",4.2,2007
"Peor vino","Ribera del Duero",4.2,2007
"Peor vino","Ribera del Duero",4.2,2007
"Peor vino","Ribera del Duero",4.2,2007
"Peor vino","Ribera del Duero",4.2,2007
"Peor vino",Red,4.2,2019
"Peor vino",Red,4.2,2019
"Peor vino",Tinto,4.2,2017
"Peor vino","Ribera del Duero",4.2,2006
"Peor vino","Ribera del Duero",4.2,2006
"Peor vino","Ribera del Duero",4.2,2006
"Peor vino","Ribera del Duero",4.2,2006
"Peor vino","Ribera del Duero",4.2,2006
"Peor vino","El Viejo",4.2,2018
"Peor vino","El Viejo",4.2,2018
"Peor vino","El Viejo",4.2,2018
"Peor vino",Tinto,4.2,2017
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2010
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Rioja Reserva",4.2,2009
"Peor vino","Ribera del Duero",4.2,2005
"Peor vino","Ribera del Duero",4.2,2005
"Peor vino","Ribera del Duero",4.2,2005
"Peor vino","Ribera del Duero",4.2,2005
"Peor vino","Ribera del Duero",4.2,2005
"Peor vino","Ribera del Duero",4.2,2004
"Peor vino","Ribera del Duero",4.2,2004
"Peor vino","Ribera del Duero",4.2,2004
"Peor vino","Ribera del Duero",4.2,2004
"Peor vino","Ribera del Duero",4.2,2004
"Peor vino","200 Monges Rioja Reserva",4.2,2011
"Peor vino",Malleolus,4.2,2019
"Peor vino",Reserva,4.2,2011
"Peor vino",Reserva,4.2,2011
"Peor vino",Reserva,4.2,2011
"Peor vino",Reserva,4.2,2011
"Peor vino",Reserva,4.2,2011
