wine,winery
"Seleccion Especial","Clos d'Agon"
"Taberner No. 1","Huerta de Albala"
Palomero,"Uvaguilera Aguilera"
"Grano a Grano",Ysios
"Nebro Ribera del Duero","Finca Villacreces"
"Valbuena 5o","Vega Sicilia"
"Petit Verdot","Dehesa del Carrizal"
"La Faraona Bierzo (Corullon)","Descendientes de J. Palacios"
"Cuvee Julia Ribera del Duero","Altos del Terral"
"Don PX Seleccion","Toro Albala"
Garnacha,Morca
"Vina Tondonia Gran Reserva","R. Lopez de Heredia"
"Cami Pesseroles",Martinet
"Las Lamas Bierzo (Corullon)","Descendientes de J. Palacios"
"Finca Garbet","Castillo Perelada"
"200 Monges Rioja Reserva Seleccion Especial","Vinicola Real"
"Galia Clos Santuy","El Regajal"
"Tomas Esteban",Valderiz
"Finca Las Comas Verdejo","Jose Pariente"
"Valbuena 5o","Vega Sicilia"
"Petit Verdot","Abadia Retuerta"
"St Antoni de Scala Dei Priorat","Scala Dei"
"Anada Palo Cortado 1987",Gonzalez-Byass
Valdegines,Artadi
Priorat,"Clos Erasmus"
"Seda de Oro Reserva","Bodegas Valdelana"
"Grano a Grano Graciano - Garnacha","Abel Mendoza Monge"
Reserva,"Tinto Pesquera"
"Carraquintana de Amaren","Bodegas Amaren"
"Garnacha Parcela 81 Vinas Viejas",Anayon
Saktih,"Castell d'Encus"
"Cava Enoteca Finca de L'Origen Brut Nature",Gramona
"Salinas 1237","Sierra Salinas"
"Cabernet Sauvignon","Dehesa del Carrizal"
"Finca La Colina Sauvignon Blanc","Vinos Sanz"
"Vina Ardanza Reserva","La Rioja Alta"
"Roda I Reserva Rioja","Bodegas Roda"
"Roda I Reserva Rioja","Bodegas Roda"
"3er Ano Ribera del Duero Tinto","Tomas Postigo"
"Ribera del Duero",Alion
"Macan Clasico","Benjamin de Rothschild - Vega Sicilia"
"Roda I Reserva Rioja","Bodegas Roda"
"Alaya Tierra (Old Vines Vieilles Vignes)",Atalaya
"Castillo Ygay Gran Reserva Especial Tinto","Marques de Murrieta"
"Roda I Reserva Rioja","Bodegas Roda"
"3er Ano Ribera del Duero Tinto","Tomas Postigo"
Cosecha,"Hacienda Monasterio"
Red,"Bodegas Mauro"
Tinto,Aalto
Macan,"Benjamin de Rothschild - Vega Sicilia"
"Ribera del Duero",Alion
"Torre Muga",Muga
"Roda I Reserva Rioja","Bodegas Roda"
"El Viejo",Matsu
"Ribera del Duero Una Cepa I","Bodegas Valduero"
Tinto,"Bodegas San Roman"
"Hacienda Pradolagar","Marques de Vargas"
"Cava Kripta Gran Reserva Brut Nature","Agusti Torello Mata"
Cosecha,"Hacienda Monasterio"
"Rioja Reserva","Remirez de Ganuza"
Garnacha,"Alto Moncayo"
"Rioja Reserva","Remirez de Ganuza"
"Ribera del Duero",Alion
"Alaya Tierra (Old Vines Vieilles Vignes)",Atalaya
"Ribera del Duero",Alion
Priorat,"Clos Mogador"
"200 Monges Rioja Reserva","Vinicola Real"
"Reserva Ribera del Duero",Arzuaga
Malleolus,"Emilio Moro"
VS,"Bodegas Mauro"
Reserva,"Hacienda Monasterio"
"Flor de Pingus","Dominio de Pingus"
"Roda I Reserva Rioja","Bodegas Roda"
"Reserva Tinto","Pago de Los Capellanes"
Tinto,Aalto
VS,"Bodegas Mauro"
"Jumilla Blue Label","Juan Gil"
Reserva,"Hacienda Monasterio"
"San Vicente Rioja","Senorio de San Vicente"
Garnacha,"Alto Moncayo"
Triga,Volver
Gaudium,"Marques de Caceres"
Victorino,"Teso La Monja"
Priorat,"Clos Mogador"
Priorat,"Clos Mogador"
"Culmen Reserva Rioja",Lan
"Alaya Tierra (Old Vines Vieilles Vignes)",Atalaya
"Roda I Reserva Rioja","Bodegas Roda"
Reserva,"Dominio del Aguila"
"Reserva Privada Rioja","Marques de Vargas"
"Pago Negralada","Abadia Retuerta"
Priorat,"Clos Mogador"
"Baron de Chirel Rioja Reserva","Marques de Riscal"
"Ribera del Duero",Alion
"Baron de Chirel Rioja Reserva","Marques de Riscal"
"Rejon Tempranillo",Tridente
"Finca Dofi","Alvaro Palacios"
Priorat,"Clos Mogador"
