designation,total_reviews,avg_rating
"Gran Reserva Penas Aladas 2012",152,4.566666666666666
"Cami Pesseroles 2012",843,4.481818181818182
"Unico 1969",38093,4.704878048780491
"Gratallops Partida Bellvisos 2005",128,4.45
"Coleccion Privada 2017",1690,4.333333333333333
"Finca El Canto 2015",58,4.5
"Finca Cascorrales 2016",57,4.5
"Rioja Gran Reserva 904 1987",6814,4.3500000000000005
"AAA 2004",119,4.55
"Tinto 2007",76714,4.445283018867928
"Rioja Gran Reserva 1994",12629,4.3
"Gran Reserva 1964",5127,4.38421052631579
"Marques de Poley Amontillado Seleccion 1951 1951",53,4.5
"Ribera Del Duero Reserva Premium 6 Anos 2014",959,4.5
"Reserva Especial 2006",223,4.5
"Platon Tinto 2019",52,4.5
"Altos de Las Gateras Monastrell 2013",51,4.5
"Canta la Perdiz 2013",51,4.5
"Marques de la Concordia VSG Premium (formerly Hacienda de Susar Rioja) 2016",50,4.5
"Cava Kripta Gran Reserva Brut Nature 2013",1861,4.425000000000001
"Alba de Miros Rueda Verdejo 2019",49,4.5
"Ribera del Duero TSM 2006",1128,4.433333333333334
"Pendon De La Aguilera 2010",47,4.5
"V2 Tinto 2009",482,4.3999999999999995
"L'Ermita Velles Vinyes Priorat 2003",1455,4.666666666666667
"Cami Pesseroles 2016",843,4.481818181818182
"Planots Priorat 2013",158,4.55
"Celia 2011",94,4.4
"Ribera del Duero Prestigio Pago de las Solanas 2010",189,4.55
"Priorat 1998",9476,4.430769230769229
"Calmo 2014",43,4.5
"Gran Reserva 1928",5127,4.38421052631579
"Dalmau Rioja 2000",3526,4.43
"Son Negre 2005",385,4.516666666666667
"Confesor Rioja 2004",42,4.5
"Cartago Paraje de Pozo 2016",332,4.6000000000000005
"La Bienquerida 2019",420,4.375
"Seleccion Especial 2015",35518,4.333333333333333
"Taberner No. 1 2011",70,4.55
"Palomero 2010",38,4.5
"Grano a Grano 2017",37,4.5
"Nebro Ribera del Duero 2015",266,4.4
"Valbuena 5o 1976",60745,4.590322580645159
"Petit Verdot 2018",660,4.466666666666666
"La Faraona Bierzo (Corullon) 2015",90,4.633333333333333
"Cuvee Julia Ribera del Duero 2011",35,4.5
"Don PX Seleccion 1949",178,4.525
"Garnacha 2019",5253,4.4
"Vina Tondonia Gran Reserva 2001",391,4.433333333333334
"Cami Pesseroles 2013",843,4.481818181818182
"Las Lamas Bierzo (Corullon) 2018",176,4.366666666666667
"Finca Garbet 2015",107,4.55
"200 Monges Rioja Reserva Seleccion Especial 2006",32,4.5
"Galia Clos Santuy 2016",60,4.4
"Tomas Esteban 2011",89,4.4
"Finca Las Comas Verdejo 2018",92,4.4
"Valbuena 5o 1975",60745,4.590322580645159
"Petit Verdot 2004",660,4.466666666666666
"St Antoni de Scala Dei Priorat 2017",30,4.5
"Anada Palo Cortado 1987 1991",83,4.6
"Valdegines 2019",806,4.3500000000000005
"Seda de Oro Reserva 2016",29,4.5
"Grano a Grano Graciano - Garnacha 2016",29,4.5
"Reserva 1986",18434,4.353846153846154
"Carraquintana de Amaren 2017",29,4.5
"Garnacha Parcela 81 Vinas Viejas 2017",28,4.5
"Saktih 2016",58,4.55
"Cava Enoteca Finca de L'Origen Brut Nature 2002",28,4.5
"Salinas 1237 2014",28,4.5
"Cabernet Sauvignon 2019",27,4.5
"Finca La Colina Sauvignon Blanc 2021",27,4.5
"Vina Ardanza Reserva 2015",39103,4.275
"Roda I Reserva Rioja 2009",13188,4.372727272727271
"Roda I Reserva Rioja 2010",13188,4.372727272727271
"3er Ano Ribera del Duero Tinto 2017",5836,4.366666666666667
"Ribera del Duero 2007",55895,4.3826086956521735
"Macan Clasico 2016",2610,4.366666666666667
"Roda I Reserva Rioja 2011",13188,4.372727272727271
"Alaya Tierra (Old Vines Vieilles Vignes) 2017",3893,4.4
"Castillo Ygay Gran Reserva Especial Tinto 2004",12540,4.433333333333333
"Roda I Reserva Rioja 2012",13188,4.372727272727271
"3er Ano Ribera del Duero Tinto 2018",5836,4.366666666666667
"Cosecha 2018",3043,4.4
