nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion
Hacienda Monasterio 2020,Bodegas Hacienda Monasterio,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot/ Malbec,"40,5",No descuento,81,"4,7",37,Vino tinto
Gorka Izagirre Txacoli Blanco 2022,Gorka Izagirre,Bizkaiko Txakolina (España),Hondarribi zuri/ Hondarribi zerratia,"10,0",No descuento,11,"4,6",5,Vino blanco
Protos 27 2020,Bodegas Protos,Ribera del Duero (España),Tempranillo,"27,9",No descuento,55,"4,5",31,Vino tinto
César Márquez Valtuille Vino de Villa 2020,César Márquez,Bierzo (España),Mencía/ Alicante bouschet,"19,9",No descuento,18,"0,0",0,Vino tinto
Castillo de Monte la Reina Cuvée Privée 2019,Bodegas Monte La Reina,Toro (España),Tempranillo,"20,8",No descuento,3,"4,3",3,Vino tinto
El Puntido 2020,Viñedos de Páganos,Rioja (España),Tempranillo,"38,5",No disponible,23,"4,7",19,Vino tinto
Vallegarcía Viognier 2020,Pago de Vallegarcía,Castilla (España),Viognier,"24,5",No descuento,7,"4,3",10,Vino blanco
Vizcarra Senda del Oro 2021,Bodegas Vizcarra,Ribera del Duero (España),Tempranillo,"10,4",No descuento,20,"4,2",31,Vino tinto
Mestres Visol 2016,Mestres,DO Cava (España),Xarel·lo/ Macabeo/ Parellada,"21,8",No descuento,13,"5,0",2,Cava
Predicat 2018,Celler Grifoll Declara,Priorat (España),Garnacha/ Cariñena/ Merlot,"12,0",No descuento,42,"4,6",23,Vino tinto
Gramona Imperial 2017,Gramona,Corpinnat (España),Xarel·lo/ Macabeo/ Chardonnay/ Parellada,"23,2",No descuento,61,"4,7",37,Cava
Casa Castillo La Tendida 2021,Casa Castillo,Jumilla (España),Monastrell/ Garnacha,"13,9",No descuento,23,"4,0",1,Vino tinto
Palacio de Bornos Verdejo 2022,Palacio de Bornos,Rueda (España),Verdejo,"6,4",No descuento,13,"4,5",22,Vino blanco
Habla La Tierra 2021,Bodegas Habla,Extremadura (España),Tempranillo/ Cabernet sauvignon,"8,0",No descuento,9,"3,9",17,Vino tinto
Luzón Sin Sulfitos 2022,Bodegas Luzón,Jumilla (España),Monastrell,"6,0",No descuento,9,"5,0",4,Vino tinto
Coto de Imaz Reserva 2019,El Coto de Rioja,Rioja (España),Tempranillo,"10,5",No descuento,106,"4,4",98,Vino tinto
Vallegarcía Syrah 2021,Pago de Vallegarcía,Vallegarcía (España),Syrah,"24,5",No descuento,12,"4,5",4,Vino tinto
Marieta 2022,Bodegas Martín Códax,Rías Baixas (España),Albariño,"10,9",No descuento,36,"4,4",56,Vino blanco
Las Gravas 2021,Casa Castillo,Jumilla (España),Monastrell/ Garnacha,"44,5",No descuento,36,"3,9",15,Vino tinto
Frontonio Microcósmico Macabeo 2022,Bodegas Frontonio,Valdejalón (España),Macabeo,"14,2",No descuento,22,"3,0",6,Vino blanco
Tobelos Crianza 2019,Tobelos Bodegas y Viñedos,Rioja (España),Tempranillo,"11,3",No descuento,4,"4,0",3,Vino tinto
Viña Real Reserva 2017,Viña Real,Rioja (España),Tempranillo/ Graciano/ Garnacha/ Mazuelo,"14,9",No descuento,129,"4,2",40,Vino tinto
Nekeas Cepa por Cepa Garnacha 2022,Bodegas Nekeas,Navarra (España),Garnacha,"6,1",No descuento,22,"4,6",9,Vino tinto
Dehesa de los Canónigos Quinta Generación 2021,Dehesa de los Canónigos,Ribera del Duero (España),Tempranillo,"12,0",No descuento,4,"3,3",7,Vino tinto
